id,geographic-area-name,median-income
0500000US29031,"Cape Girardeau County, Missouri",57908
0500000US29037,"Cass County, Missouri",72819
0500000US29043,"Christian County, Missouri",62765
0500000US29047,"Clay County, Missouri",70253
0500000US29051,"Cole County, Missouri",61371
0500000US29071,"Franklin County, Missouri",60953
0500000US29077,"Greene County, Missouri",43752
0500000US29095,"Jackson County, Missouri",57936
0500000US29097,"Jasper County, Missouri",45010
0500000US29099,"Jefferson County, Missouri",69009
0500000US29165,"Platte County, Missouri",81712
0500000US29183,"St. Charles County, Missouri",89146
0500000US29187,"St. Francois County, Missouri",42390
0500000US29189,"St. Louis County, Missouri",70022
0500000US29510,"St. Louis city, Missouri",47176
0500000US30013,"Cascade County, Montana",51227
0500000US30029,"Flathead County, Montana",62588
0500000US30031,"Gallatin County, Montana",75418
0500000US30049,"Lewis and Clark County, Montana",67616
0500000US30063,"Missoula County, Montana",57347
0500000US30111,"Yellowstone County, Montana",61186
0500000US31055,"Douglas County, Nebraska",67133
0500000US31109,"Lancaster County, Nebraska",61175
0500000US31153,"Sarpy County, Nebraska",83720
0500000US32003,"Clark County, Nevada",62107
0500000US32031,"Washoe County, Nevada",71881
0500000US33005,"Cheshire County, New Hampshire",66088
0500000US33009,"Grafton County, New Hampshire",60588
0500000US33011,"Hillsborough County, New Hampshire",83626
0500000US33013,"Merrimack County, New Hampshire",76218
0500000US33015,"Rockingham County, New Hampshire",91249
0500000US33017,"Strafford County, New Hampshire",71765
0500000US34001,"Atlantic County, New Jersey",63389
0500000US34003,"Bergen County, New Jersey",108827
0500000US34005,"Burlington County, New Jersey",88797
0500000US34007,"Camden County, New Jersey",73672
0500000US34009,"Cape May County, New Jersey",69980
0500000US34011,"Cumberland County, New Jersey",54587
0500000US34013,"Essex County, New Jersey",64626
0500000US34015,"Gloucester County, New Jersey",89447
0500000US34017,"Hudson County, New Jersey",78808
0500000US34019,"Hunterdon County, New Jersey",116155
0500000US34021,"Mercer County, New Jersey",79492
0500000US34023,"Middlesex County, New Jersey",93418
0500000US34025,"Monmouth County, New Jersey",102870
0500000US34027,"Morris County, New Jersey",116283
0500000US34029,"Ocean County, New Jersey",76093
0500000US34031,"Passaic County, New Jersey",77040
0500000US34033,"Salem County, New Jersey",68531
0500000US34035,"Somerset County, New Jersey",111587
0500000US34037,"Sussex County, New Jersey",101130
0500000US34039,"Union County, New Jersey",80339
0500000US34041,"Warren County, New Jersey",84479
0500000US35001,"Bernalillo County, New Mexico",56115
0500000US35005,"Chaves County, New Mexico",42003
0500000US35013,"Do̱a Ana County, New Mexico",43038
0500000US35025,"Lea County, New Mexico",68457
