,date,state,abbr,county,fips,population,ccvi score,cases,case rate,deaths,death rate,median income 2018,uninsured percent,fair or poor health percent,socioeconomic status,household composition and disability,minority status and language,housing type and transportation,epidemiological factors,healthcare system factors
228,9/30/2020,California,CA,Sierra,6091,"3,005",0.23399999999999999,6,6e-05,0,0.0,"52,308",0.08,0.14,0.149,0.10099999999999999,0.336,0.5870000000000001,0.244,0.713
231,9/30/2020,California,CA,Sonoma,6097,"494,336",0.319,7578,0.07578,122,0.00122,"81,002",0.08,0.14,0.244,0.11900000000000001,0.9009999999999999,0.64,0.10400000000000001,0.488
232,9/30/2020,California,CA,Stanislaus,6099,"550,660",0.6509999999999999,16512,0.16512,362,0.00362,"59,616",0.07,0.18,0.797,0.48700000000000004,0.97,0.57,0.06,0.537
233,9/30/2020,California,CA,Sutter,6101,"96,971",0.818,1726,0.01726,11,0.00011,"57,879",0.09,0.17,0.7879999999999999,0.6890000000000001,0.972,0.8059999999999999,0.037000000000000005,0.7909999999999999
234,9/30/2020,California,CA,Tehama,6103,"65,084",0.805,585,0.00585,5,5e-05,"47,572",0.08,0.18,0.848,0.877,0.846,0.897,0.115,0.614
236,9/30/2020,California,CA,Tulare,6107,"466,195",0.836,16267,0.16267,263,0.00263,"48,763",0.09,0.26,0.9009999999999999,0.634,0.985,0.794,0.032,0.7170000000000001
237,9/30/2020,California,CA,Tuolumne,6109,"54,478",0.235,228,0.00228,4,4e-05,"56,500",0.06,0.13,0.312,0.405,0.49200000000000005,0.78,0.11,0.401
238,9/30/2020,California,CA,Ventura,6111,"846,006",0.317,12875,0.12875,152,0.00152,"84,170",0.09,0.15,0.312,0.109,0.943,0.327,0.057,0.54
240,9/30/2020,California,CA,Yuba,6115,"78,668",0.521,1177,0.01177,8,8e-05,"47,504",0.07,0.16,0.745,0.644,0.9159999999999999,0.852,0.037000000000000005,0.335
241,9/30/2020,Colorado,CO,Adams,8001,"517,421",0.266,9433,0.09433,227,0.00227,"70,199",0.11,0.17,0.381,0.162,0.9359999999999999,0.196,0.486,0.045
242,9/30/2020,Colorado,CO,Alamosa,8003,"16,233",0.359,244,0.00244,9,9e-05,"42,897",0.13,0.23,0.836,0.285,0.9490000000000001,0.96,0.011000000000000001,0.043
243,9/30/2020,Colorado,CO,Arapahoe,8005,"656,590",0.053,9595,0.09595,372,0.00372,"76,665",0.09,0.12,0.11599999999999999,0.057,0.867,0.084,0.045,0.159
244,9/30/2020,Colorado,CO,Archuleta,8007,"14,029",0.13,54,0.00054,0,0.0,"53,337",0.13,0.14,0.3,0.133,0.66,0.5329999999999999,0.07400000000000001,0.36
245,9/30/2020,Colorado,CO,Baca,8009,"3,581",0.456,18,0.00018,0,0.0,"38,294",0.16,0.16,0.523,0.87,0.7340000000000001,0.889,0.08,0.35100000000000003
247,9/30/2020,Colorado,CO,Boulder,8013,"326,196",0.019,4512,0.04512,80,0.0008,"83,591",0.07,0.12,0.09300000000000001,0.022000000000000002,0.682,0.16699999999999998,0.013000000000000001,0.096
248,9/30/2020,Colorado,CO,Broomfield,8014,"70,465",0.003,659,0.00659,33,0.00033,"96,924",0.05,0.1,0.008,0.015,0.669,0.02,0.012,0.13699999999999998
256,9/30/2020,Colorado,CO,Delta,8029,"31,162",0.431,189,0.00189,3,3e-05,"46,786",0.11,0.16,0.644,0.58,0.562,0.812,0.46,0.177
257,9/30/2020,Colorado,CO,Denver,8031,"727,211",0.086,13404,0.13404,441,0.00441,"68,069",0.11,0.15,0.245,0.039,0.893,0.415,0.091,0.036000000000000004
258,9/30/2020,Colorado,CO,Dolores,8033,"2,055",0.044000000000000004,3,3e-05,0,0.0,"47,482",0.12,0.15,0.23600000000000002,0.922,0.07,0.006999999999999999,0.05,0.34600000000000003
259,9/30/2020,Colorado,CO,Douglas,8035,"351,154",0.006999999999999999,2803,0.02803,61,0.00061,"120,670",0.04,0.08,0.001,0.013999999999999999,0.508,0.006,0.47,0.20600000000000002
260,9/30/2020,Colorado,CO,Eagle,8037,"55,127",0.028999999999999998,1262,0.01262,10,0.0001,"86,896",0.12,0.12,0.046,0.002,0.9079999999999999,0.23,0.0,0.28800000000000003
264,9/30/2020,Colorado,CO,Garfield,8045,"60,061",0.386,956,0.00956,5,5e-05,"74,421",0.14,0.13,0.24600000000000002,0.039,0.909,0.737,0.6509999999999999,0.248
266,9/30/2020,Colorado,CO,Grand,8049,"15,734",0.034,76,0.00076,1,1e-05,"69,214",0.11,0.12,0.133,0.003,0.54,0.73,0.013000000000000001,0.28
268,9/30/2020,Colorado,CO,Hinsdale,8053,820,0.048,3,3e-05,0,0.0,"62,149",0.11,0.12,0.147,0.365,0.08,0.312,0.073,0.358
272,9/30/2020,Colorado,CO,Kiowa,8061,"1,406",0.349,1,1e-05,0,0.0,"44,704",0.11,0.13,0.161,0.9840000000000001,0.445,0.7120000000000001,0.382,0.22899999999999998
274,9/30/2020,Colorado,CO,La Plata,8067,"56,221",0.008,263,0.00263,2,2e-05,"66,219",0.12,0.12,0.055999999999999994,0.011000000000000001,0.504,0.5820000000000001,0.006999999999999999,0.16
275,9/30/2020,Colorado,CO,Lake,8065,"8,127",0.387,98,0.00098,0,0.0,"51,802",0.12,0.16,0.601,0.025,0.772,0.7979999999999999,0.8340000000000001,0.142
276,9/30/2020,Colorado,CO,Larimer,8069,"356,899",0.015,2636,0.02636,53,0.00053,"71,306",0.07,0.12,0.106,0.033,0.555,0.11900000000000001,0.009000000000000001,0.18100000000000002
277,9/30/2020,Colorado,CO,Las Animas,8071,"14,506",0.5660000000000001,25,0.00025,0,0.0,"41,485",0.12,0.2,0.713,0.528,0.878,0.732,0.061,0.519
